"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"Blu Pagine Sci.","I Blu---Pagine di Scienza","The Blue---Pages of Sciences","Springer Italia, Milan.","2239-7477","Y","N","Y"
"Bocconi Springer Ser.","Bocconi & Springer Series","","Springer, Cham.","2039-1471","N","N","Y"
"Boethius Texte Abh. Gesch. Math. Naturwiss.","Boethius: Texte und Abhandlungen zur Geschichte der Mathematik und der Naturwissenschaften","Boethius: Texts and Essays on the History of Mathematics and the Natural Sciences","Franz Steiner Verlag, Stuttgart.","","N","N","Y"
"Bol. Asoc. Mat. Venez.","Boletin de la Asociacion Matematica Venezolana","","Asoc. Mat. Venez., Caracas.","1315-4125","N","N","N"
"Bol. Mat.","Boletin de Matematicas. Nueva Serie","","Univ. Nac. Colombia, Dep. Mat., Bogota.","0120-0380","N","Y","N"
"Bol. Soc. Mat. Mex. (3)","Boletin de la Sociedad Matematica Mexicana. Third Series","","Birkhauser Verlag, Basel.","1405-213X","N","Y","N"
"Bol. Soc. Parana. Mat. (3)","Boletim da Sociedade Paranaense de Matematica. 3rd Serie","","Soc. Paranaense de Mat., Maringa.","0037-8712","N","Y","N"
"Bol. Soc. Port. Mat.","Boletim da Sociedade Portuguesa de Matematica","","Soc. Portuguesa Mat., Lisbon.","0872-3672","N","N","N"
"Boll. Stor. Sci. Mat.","Bollettino di Storia delle Scienze Matematiche","","Fabrizio Serra Editore, Pisa.","0392-4432","N","Y","N"
"Boll. Unione Mat. Ital.","Bollettino dell'Unione Matematica Italiana","","Springer, Berlin.","1972-6724","N","Y","N"
"Bolyai Soc. Math. Stud.","Bolyai Society Mathematical Studies","","Janos Bolyai Math. Soc., Budapest.","1217-4696","N","N","Y"
"Bonner Math. Schriften","Bonner Mathematische Schriften","Bonn Mathematical Publications","Univ. Bonn, Bonn.","0524-045X","N","N","Y"
"Boston Stud. Philos. Hist. Sci.","Boston Studies in the Philosophy and History of Science","","Springer, Cham.","0068-0346","Y","N","Y"
"Boston Stud. Philos. Sci.","Boston Studies in the Philosophy of Science","","Springer, New York.","0068-0346","N","N","Y"
"Bound. Value Probl.","Boundary Value Problems","","Springer, Berlin.","1687-2770","N","Y","N"
"Braz. J. Probab. Stat.","Brazilian Journal of Probability and Statistics","","Assoc. Brasileira Estatist., Sao Paulo.","0103-0752","N","N","N"
"British J. Philos. Sci.","The British Journal for the Philosophy of Science","","Oxford Univ. Press, Oxford.","0007-0882","N","N","N"
"Bruno Pini Math. Anal. Semin.","Bruno Pini Mathematical Analysis Seminar","","Univ. Bologna, Alma Mater Stud., Bologna.","2240-2829","N","N","Y"
"BSG Proc.","BSG Proceedings","","Geom. Balkan Press, Bucharest.","1843-2654","N","N","Y"
"BSHM Bull.","BSHM Bulletin. Journal of the British Society for the History of Mathematics","","Taylor & Francis, Abingdon.","1749-8430","N","N","N"
"Bul. Acad. Stiinte Repub. Mold. Mat.","Buletinul Academiei de Stiinte a Republicii Moldova. Matematica. Izvestiya Akademii Nauk Respubliki Moldova. Matematika","","Acad. Stiinte Repub. Mold. Inst. Mat. Inform., Chisinau.","1024-7696","N","Y","N"
"Bul. Inst. Politeh. Iasi. Sect. I. Mat. Mec. Teor. Fiz.","Buletinul Institutului Politehnic din Iasi. Sectia I. Matematica. Mecanica Teoretica. Fizica","","Tech. Univ. ``Gh. Asachi'' Jassy, Iasi.","1224-7863","N","N","N"
"Bul. Stiint. Univ. Politeh. Timis. Ser. Mat. Fiz.","Buletinul Stiintific al Universitatii ``Politehnica'' din Timisoara. Seria Matematica-Fizica. Scientific Bulletin of the Politehnica University of Timisoara. Transactions on Mathematics & Physics","","Univ. Politeh. Timisoara, Timisoara.","1224-6069","N","N","N"
"Bull. Allahabad Math. Soc.","Bulletin of the Allahabad Mathematical Society","","Allahabad Math. Soc., Allahabad.","0971-0493","N","Y","N"
"Bull. Amer. Math. Soc. (N.S.)","American Mathematical Society. Bulletin. New Series","","Amer. Math. Soc., Providence, RI.","0273-0979","N","Y","N"
"Bull. Aust. Math. Soc.","Bulletin of the Australian Mathematical Society","","Cambridge Univ. Press, Cambridge.","0004-9727","N","Y","N"
"Bull. Belg. Math. Soc. Simon Stevin","Bulletin of the Belgian Mathematical Society. Simon Stevin","","Soc. Math. Belgique, Brussels.","1370-1444","N","Y","N"
"Bull. Braz. Math. Soc. (N.S.)","Bulletin of the Brazilian Mathematical Society. New Series. Boletim da Sociedade Brasileira de Matematica","","Springer, Berlin.","1678-7544","N","Y","N"
"Bull. Calcutta Math. Soc.","Bulletin of the Calcutta Mathematical Society","","Calcutta Math. Soc., Calcutta.","0008-0659","N","N","N"
"Bull. Cl. Sci. Math. Nat. Sci. Math.","Bulletin. Classe des Sciences Mathematiques et Naturelles. Sciences Mathematiques","","Academie Serbe des Sciences et des Arts, Belgrade.","0561-7332","N","Y","N"
"Bull. Econ. Res.","Bulletin of Economic Research","","Wiley-Blackwell, Oxford.","0307-3378","N","N","N"
"Bull. Eur. Assoc. Theor. Comput. Sci. EATCS","Bulletin of the European Association for Theoretical Computer Science. EATCS","","Eur. Assoc. Theor. Comput. Sci., Kyoto.","0252-9742","N","N","N"
"Bull. Fac. Ed. Kagoshima Univ. Natur. Sci.","Bulletin of the Faculty of Education. Kagoshima University. Natural Science","","Kagoshima Univ., Kagoshima.","0389-6692","N","N","N"
"Bull. Fac. Ed. Wakayama Univ. Natur. Sci.","Wakayama University. Faculty of Education. Bulletin. Natural Science","","Wakayama Univ., Wakayama.","1342-4645","N","N","N"
"Bull. Fac. Hum. Dev. Cult. Fukushima Univ.","Bulletin of the Faculty of Human Development and Culture. Fukushima University","","Fukushima University, Faculty of Human Development and Culture, Fukushima.","1880-3903","N","N","N"
"Bull. Fac. Sci. Univ. Ryukyus","Bulletin of the Faculty of Science. University of the Ryukyus","","Univ. Ryukyus, Okinawa.","0286-9640","N","N","N"
"Bull. Fukuoka Univ. Ed. III","Bulletin of Fukuoka University of Education. Part III. Mathematics, Natural Sciences and Technology","","Fukuoka Univ. Education, Fukuoka.","0532-811X","N","N","N"
"Bull. Georgian Natl. Acad. Sci. (N.S.)","Bulletin of the Georgian National Academy of Sciences. New Series","","Georgian Natl. Acad. of Sci., Tbilisi.","0132-1447","N","N","N"
"Bull. Greek Math. Soc.","Bulletin of the Greek Mathematical Society","","Greek Math. Soc., Athens.","0072-7466","N","Y","N"
"Bull. Inform. Cybernet.","Bulletin of Informatics and Cybernetics","","Res. Assoc. Statist. Sci., Fukuoka.","0286-522X","N","N","N"
"Bull. Inst. Combin. Appl.","Bulletin of the Institute of Combinatorics and its Applications","","Inst. Combin. Appl., Winnipeg, MB.","1183-1278","N","Y","N"
"Bull. Inst. Math. Acad. Sin. (N.S.)","Bulletin of the Institute of Mathematics. Academia Sinica. New Series","","Acad. Sinica, Taipei.","2304-7909","N","Y","N"
"Bull. Int. Math. Virtual Inst.","Bulletin of International Mathematical Virtual Institute","","IMVI Sci. Soc. Math. Banja Luka, Banja Luka.","2303-4874","N","N","N"
"Bull. Iranian Math. Soc.","Iranian Mathematical Society. Bulletin","","Iranian Math. Soc., Tehran.","1017-060X","N","Y","N"
"Bull. Kerala Math. Assoc.","Bulletin of Kerala Mathematics Association","","Kerala Math. Assoc., Kottayam.","0973-2721","N","N","N"
"Bull. Korean Math. Soc.","Bulletin of the Korean Mathematical Society","","Korean Math. Soc., Seoul.","1015-8634","N","Y","N"
"Bull. Kyushu Inst. Technol. Pure Appl. Math.","Bulletin of the Kyushu Institute of Technology. Pure and Applied Mathematics","","Kyushu Inst. Tech., Tobata.","1343-8670","N","N","N"
"Bull. Lond. Math. Soc.","Bulletin of the London Mathematical Society","","London Math. Soc., London.","0024-6093","N","Y","N"
"Bull. Malays. Math. Sci. Soc.","Bulletin of the Malaysian Mathematical Sciences Society","","Springer, Singapore.","0126-6705","Y","Y","N"
"Bull. Math. Anal. Appl.","Bulletin of Mathematical Analysis and Applications","","Bull. Math. Anal. Appl., Pristina.","1821-1291","N","Y","N"
"Bull. Math. Biol.","Bulletin of Mathematical Biology","","Springer, New York.","0092-8240","N","N","N"
"Bull. Math. Sci.","Bulletin of Mathematical Sciences","","Springer Basel, Basel.","1664-3607","N","N","N"
"Bull. Math. Soc. Sci. Math. Roumanie (N.S.)","Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie. Nouvelle Serie","","Soc. Stiinte Mat. Romania, Bucharest.","1220-3874","N","Y","N"
"Bull. Nara Univ. Ed. Natur. Sci.","Bulletin of Nara University of Education. Natural Science","","Nara Univ. Ed., Nara.","0547-2407","N","N","N"
"Bull. Osaka Prefect. Univ. Coll. Technol.","Bulletin of Osaka Prefectural University College of Technology","","Osaka Prefect. Univ. Coll. Tech., Neyagawa.","2186-2826","N","N","N"
"Bull. Pol. Acad. Sci. Math.","Bulletin of the Polish Academy of Sciences. Mathematics","","Polish Acad. Sci. Inst. Math., Warsaw.","0239-7269","N","Y","N"
"Bull. Pure Appl. Math.","Bulletin of Pure and Applied Mathematics","","Sci. Publ. (India), Jodhpur.","0973-5933","N","Y","N"
"Bull. Sci. Math.","Bulletin des Sciences Mathematiques","","Elsevier Sci. B. V., Amsterdam.","0007-4497","N","Y","N"
"Bull. Sect. Logic Univ. Lodz","University of Lodz. Department of Logic. Bulletin of the Section of Logic","","Univ. Lodz, Lodz.","0138-0680","N","Y","N"
"Bull. Soc. Math. France","Bulletin de la Societe Mathematique de France","","Soc. Math. France, Paris.","0037-9484","N","Y","N"
"Bull. Soc. Roy. Sci. Liege","Bulletin de la Societe Royale des Sciences de Liege","","Soc. Roy. Sci. Liege, Liege.","0037-9565","N","N","N"
"Bull. Soc. Sci. Lett. Lodz Ser. Rech. Deform.","Bulletin de la Societe des Sciences et des Lettres de Lodz. Serie: Recherches sur les Deformations","","Lodz. Tow. Nauk., Lodz.","0459-6854","N","N","N"
"Bull. Symb. Log.","Bulletin of Symbolic Logic","","Cambridge Univ. Press, Cambridge.","1079-8986","N","N","N"
"Bull. TICMI","Bulletin. Tbilisi International Centre of Mathematics and Informatics","","Tbilisi Univ. Press, Tbilisi.","1512-0082","N","N","N"
"Bull. Tokyo Gakugei Univ. Nat. Sci.","Bulletin of Tokyo Gakugei University. Natural Sciences","","Tokyo Gakugei Univ., Tokyo.","1880-4330","N","N","N"
"Bull. Transilv. Univ. Brasov Ser. III","Bulletin of the Transilvania University of Brasov. Series III. Mathematics, Informatics, Physics","","Transilvania Univ. Press, Brasov.","2065-2151","N","N","N"
"Butl. Soc. Catalana Mat.","Butlleti de la Societat Catalana de Matematiques","","Soc. Catalana Mat., Barcelona.","0214-316X","N","N","N"
"C. R. Acad. Bulgare Sci.","Dokladi na Blgarskata Akademiya na Naukite. Comptes Rendus de l'Academie Bulgare des Sciences","","Publ. House Bulgar. Acad. Sci., Sofia.","1310-1331","N","N","N"
"C. R. Math. Acad. Sci. Paris","Comptes Rendus Mathematique. Academie des Sciences. Paris","","Elsevier Sci. B. V., Amsterdam.","1631-073X","N","Y","N"
"C. R. Math. Acad. Sci. Soc. R. Can.","Comptes Rendus Mathematiques de l'Academie des Sciences. La Societe Royale du Canada. Mathematical Reports of the Academy of Science. The Royal Society of Canada","","Acad. Sci. R. Soc. Can., Ottawa, ON.","0706-1994","N","Y","N"
"C.I.M.E. Summer Sch.","Centro Internazionale Matematico Estivo (C.I.M.E.) Summer Schools","","Springer, Heidelberg.","","N","N","Y"
"Cah. Log. Epistemol.","Cahiers de Logique et d'Epistemologie","Studies in Logic and Epistemology","Coll. Publ., London.","","N","N","Y"
"Cah. Topol. Geom. Differ. Categ.","Cahiers de Topologie et Geometrie Differentielle Categoriques","","Univ. Picardie, Amiens.","1245-530X","N","Y","N"
"Cahiers Centre Logique","Cahiers du Centre de Logique","Reports of the Center of Logic","Acad.-Bruylant, Louvain-la-Neuve.","","N","N","Y"
"Calc. Var. Partial Differential Equations","Calculus of Variations and Partial Differential Equations","","Springer, Berlin.","0944-2669","N","Y","N"
"Calcolo","Calcolo. A Quarterly on Numerical Analysis and Theory of Computation","","Springer Italia, Milan.","0008-0624","N","Y","N"
"Calcutta Statist. Assoc. Bull.","Calcutta Statistical Association Bulletin","","Calcutta Statist. Assoc., Calcutta.","0008-0683","N","N","N"
"Camb. Aerosp. Ser.","Cambridge Aerospace Series","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. China Libr.","The Cambridge China Library","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Companions Philos.","Cambridge Companions to Philosophy","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Introd. Philos.","Cambridge Introductions to Philosophy","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. J. Math.","Cambridge Journal of Mathematics","","Int. Press, Somerville, MA.","2168-0930","N","N","N"
"Camb. Libr. Collect.","Cambridge Library Collection","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Monogr. Part. Phys. Nucl. Phys. Cosmol.","Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Obs. Handb. Res. Astron.","Cambridge Observing Handbooks for Research Astronomers","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Ser. Chem. Eng.","Cambridge Series in Chemical Engineering","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Camb. Ser. Stat. Probab. Math.","Cambridge Series in Statistical and Probabilistic Mathematics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Monogr. Appl. Comput. Math.","Cambridge Monographs on Applied and Computational Mathematics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Monogr. Math. Phys.","Cambridge Monographs on Mathematical Physics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Monogr. Mech.","Cambridge Monographs on Mechanics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Stud. Adv. Math.","Cambridge Studies in Advanced Mathematics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Texts Appl. Math.","Cambridge Texts in Applied Mathematics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Tracts in Math.","Cambridge Tracts in Mathematics","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Cambridge Tracts Theoret. Comput. Sci.","Cambridge Tracts in Theoretical Computer Science","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"Can. Appl. Math. Q.","Canadian Applied Mathematics Quarterly","","Appl. Math. Inst., Edmonton, AB.","1073-1849","N","Y","N"
"Canad. J. Math.","Canadian Journal of Mathematics. Journal Canadien de Mathematiques","","Canadian Math. Soc., Ottawa, ON.","0008-414X","N","Y","N"
"Canad. J. Statist.","The Canadian Journal of Statistics. La Revue Canadienne de Statistique","","Statist. Soc. Canada, Ottawa, ON.","0319-5724","N","N","N"
"Canad. Math. Bull.","Canadian Mathematical Bulletin. Bulletin Canadien de Mathematiques","","Canadian Math. Soc., Ottawa, ON.","0008-4395","N","Y","N"
"Carpathian J. Math.","Carpathian Journal of Mathematics","","N. Univ. Baia Mare, Baia Mare.","1584-2851","N","Y","N"
"Carpathian Math. Publ.","Carpathian Mathematical Publications. Karpatski Matematichni Publikatsii","","V. Stefanyk Precarpathian Natl. Univ., Ivano-Frankivs'k.","2075-9827","N","N","N"
"CBMS Reg. Conf. Ser. Math.","CBMS Regional Conference Series in Mathematics","","Amer. Math. Soc., Providence, RI.","0160-7642","N","N","Y"
"CBMS-NSF Regional Conf. Ser. in Appl. Math.","CBMS-NSF Regional Conference Series in Applied Mathematics","","SIAM, Philadelphia, PA.","","N","N","Y"
"CEJOR Cent. Eur. J. Oper. Res.","Central European Journal of Operations Research (CEJOR)","","Springer, Berlin.","1435-246X","N","N","N"
"Celestial Mech. Dynam. Astronom.","Celestial Mechanics & Dynamical Astronomy. An International Journal of Space Dynamics","","Springer, Dordrecht.","0923-2958","N","N","N"
"Centaurus","Centaurus. An International Journal of the History of Science and its Cultural Aspects","","Wiley-Blackwell, Oxford.","0008-8994","N","N","N"
"Centre Rech. Math. Proc.","Centre de Recherches Mathematiques Proceedings","","Amer. Math. Soc., Providence, RI.","","N","N","Y"
"Chamchuri J. Math.","Chamchuri Journal of Mathematics","","Chulalongkorn Univ., Dept. Math. Comput. Sci., Bangkok.","1906-554X","N","N","N"
"Champs Essais","Champs Essais","Champs Essays","Flammarion, Paris.","","Y","N","Y"
"Chaos","Chaos. An Interdisciplinary Journal of Nonlinear Science","","Amer. Inst. Phys., Melville, NY.","1054-1500","N","N","N"
"Chaos Solitons Fractals","Chaos, Solitons & Fractals","","Elsevier Ltd, Oxford.","0960-0779","N","N","N"
"Chapman & Hall/CRC Appl. Environ. Stat.","Chapman & Hall/CRC Applied Environmental Statistics","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Appl. Math. Nonlinear Sci. Ser.","Chapman & Hall/CRC Applied Mathematics and Nonlinear Science Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Biostat. Ser.","Chapman & Hall/CRC Biostatistics Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Comput. Inf. Sci. Ser.","Chapman & Hall/CRC Computer and Information Science Series","","Chapman & Hall/CRC, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Comput. Sci. Ser.","Chapman & Hall/CRC Computational Science Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Cryptogr. Netw. Secur.","Chapman & Hall/CRC Cryptography and Network Security","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Data Min. Knowl. Discov. Ser.","Chapman & Hall/CRC Data Mining and Knowledge Discovery Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Financ. Math. Ser.","Chapman & Hall/CRC Financial Mathematics Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Finance Ser.","Chapman & Hall/CRC Finance Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Handb. Mod. Stat. Methods","Chapman & Hall/CRC Handbooks of Modern Statistical Methods","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Mach. Learn. Pattern Recogn. Ser.","Chapman & Hall/CRC Machine Learning & Pattern Recognition Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Math. Comput. Biol. Ser.","Chapman & Hall/CRC Mathematical and Computational Biology Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Monogr. Surv. Pure Appl. Math.","Chapman & Hall/CRC Monographs and Surveys in Pure and Applied Mathematics","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Numer. Anal. Sci. Comput.","Chapman & Hall/CRC Numerical Analysis and Scientific Computing","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Res. Notes Math.","Chapman & Hall/CRC Research Notes in Mathematics","","Chapman & Hall/CRC, Boca Raton, FL.","","N","N","Y"
"Chapman & Hall/CRC Texts Stat. Sci. Ser.","Chapman & Hall/CRC Texts in Statistical Science Series","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Chebyshevskii Sb.","Chebyshevskii Sbornik","","Tul. Gos. Ped. Univ., Tula.","2226-8383","N","N","N"
"Chic. J. Theoret. Comput. Sci.","Chicago Journal of Theoretical Computer Science","","Univ. Chicago, Chicago, IL.","1073-0486","N","Y","N"
"Chicago Guides Writ. Ed. Publ.","Chicago Guides to Writing, Editing, and Publishing","","Univ. Chicago Press, Chicago, IL.","","N","N","Y"
"Chicago Lectures in Math.","Chicago Lectures in Mathematics","","Univ. Chicago Press, Chicago, IL.","","N","N","Y"
"Chicago Lectures Phys.","Chicago Lectures in Physics","","Univ. Chicago Press, Chicago, IL.","","N","N","Y"
"Chil. J. Stat.","Chilean Journal of Statistics","","Soc. Chil. Estadi, Santiago.","0718-7912","N","N","N"
"Chin. Ann. Math. Ser. B","Chinese Annals of Mathematics. Series B","","Chin. Ann. Math., Ed. Office, Shanghai.","0252-9599","N","Y","N"
"Chin. J. Math. (N.Y.)","Chinese Journal of Mathematics","","Hindawi Publ. Corp., New York.","2314-8071","N","Y","N"
"Chinese Ann. Math. Ser. A","Chinese Annals of Mathematics. Series A. Shuxue Niankan. A Ji","","Shanghai Sci. Tech. Lit. Publ., Shanghai.","1000-8314","N","Y","N"
"Chinese J. Appl. Probab. Statist.","Chinese Journal of Applied Probability and Statistics. Yingyong Gailu Tongji","","East China Normal Univ. Press, Shanghai.","1001-4268","N","N","N"
"Chinese J. Comput.","Chinese Journal of Computers. Jisuanji Xuebao","","Sci. Press Beijing, Beijing.","0254-4164","N","N","N"
"Chinese J. Contemp. Math.","Chinese Journal of Contemporary Mathematics","","Allerton Press, New York.","0898-5111","N","N","N"
"Chinese J. Phys.","Chinese Journal of Physics","","Phys. Soc. Repub. China, Taipei.","0577-9073","N","N","N"
"Chinese Quart. J. Math.","Chinese Quarterly Journal of Mathematics. Shuxue Jikan","","Chinese Q. J. Math., Editor. Board, Kaifeng.","1002-0462","N","N","N"
"Circuits Systems Signal Process.","Circuits, Systems, and Signal Processing","","Birkhauser Boston, Inc., Cambridge, MA.","0278-081X","N","N","N"
"CIRM Jean-Morlet Ser.","CIRM Jean-Morlet Series","","Springer, Cham.","","Y","N","Y"
"CISM Courses and Lectures","CISM Courses and Lectures","","Springer, Vienna.","","N","N","Y"
"Class. Econ. Popul.","Classiques de l'Economie et de la Population","Classics of Economics and Population Sciences","Institut National d'Etudes Demographiques (Ined), Paris.","1622-6267","N","N","Y"
"Class. Texts Sci.","Classic Texts in the Sciences","","Birkhauser/Springer, Cham.","","Y","N","Y"
"Classical Quantum Gravity","Classical and Quantum Gravity","","Inst. Phys., Bristol.","0264-9381","N","N","N"
"Classics Appl. Math.","Classics in Applied Mathematics","","SIAM, Philadelphia, PA.","","N","N","Y"
"Classr. Res. Mater. Ser.","Classroom Resource Materials Series","","Math. Assoc. America, Washington, DC.","","N","N","Y"
"Clavis Pansophiae","Clavis Pansophiae","","Frommann-Holzboog, Stuttgart.","","N","N","Y"
"Clay Math. Monogr.","Clay Mathematics Monographs","","Amer. Math. Soc., Providence, RI.","1539-6061","N","N","Y"
"Clay Math. Proc.","Clay Mathematics Proceedings","","Amer. Math. Soc., Providence, RI.","1534-6455","N","N","Y"
"CMES Comput. Model. Eng. Sci.","CMES. Computer Modeling in Engineering & Sciences","","Tech Sci. Press, Duluth, GA.","1526-1492","N","N","N"
"CMI Lect. Ser. Math.","CMI Lecture Series in Mathematics","","Hindustan Book Agency, New Delhi.","","N","N","Y"
"CMS Books Math./Ouvrages Math. SMC","CMS Books in Mathematics/Ouvrages de Mathematiques de la SMC","","Springer, Cham.","1613-5237","N","N","Y"
"CMS Notes","CMS Notes","","Canadian Math. Soc., Ottawa, ON.","1193-9273","N","N","N"
"COE Lect. Note","COE Lecture Note","","Kyushu Univ. Fac. Math., Fukuoka.","1881-4042","N","N","Y"
"Cogn. Syst. Monogr.","Cognitive Systems Monographs","","Springer, Cham.","1867-4925","N","N","Y"
"Cogn. Technol.","Cognitive Technologies","","Springer, Heidelberg.","1611-2482","N","N","Y"
"Colecc. Congr.","Coleccion: Congresos","Conference Collection","Univ. Vigo, Serv. Publ., Vigo.","","N","N","Y"
"Colecc. Ensino Cienc. Tecnol.","Coleccao Ensino da Ciencia e da Tecnologia","Science and Technology Education Collection","IST Press, Lisbon.","","N","N","Y"
"Colecc. Julio Carrizosa Valenzuela","Coleccion Julio Carrizosa Valenzuela","Julio Carrizosa Valenzuela Collection","Acad. Colombiana Cienc. Exact. Fis. Natur., Bogota.","","N","N","Y"
"Colecc. Obra Sel.","Coleccion Obra Selecta","Obra Selecta Collection","Ed. Univ. Nac. Colombia, Bogota.","","N","N","Y"
"Collana Fis. Astron.","Collana di Fisica e Astronomia","Physics and Astronomy Series","Springer, Milan.","","N","N","Y"
"Collect. Inform. (Paris)","Collection Informatique (Paris)","Data Processing Collection (Paris)","Hermes Sci. Publ./Lavoisier, Paris.","1242-7691","N","N","Y"
"Collect. IRIS","Collection IRIS","IRIS Collection","Springer, Paris.","","N","N","Y"
"Collect. Math.","Collectanea Mathematica","","Springer Italia, Milan.","0010-0757","N","Y","N"
"Collect. Mec.","Collection Mecanique","Mechanics Collection","Hermes Sci. Publ./Lavoisier, Paris.","","N","N","Y"
"Collect. Methodes","Collection Methodes","Methods Collection","Hermann, Paris.","","N","N","Y"
"Collect. Methodes Stoch. Appl.","Collection Methodes Stochastiques Appliquees","Applied Stochastic Methods Collection","Hermes Sci. Publ./Lavoisier, Paris.","1956-6808","N","N","Y"
"Collect. Rech. Inf. Web.","Collection Recherche d'Information et Web","Collection of Information Retrieval and Web","Hermes Sci. /Lavoisier, Paris.","1968-8008","N","N","Y"
"Collect. Sci. Hist.","Collection Sciences dans l'Histoire","Science in History Collection","Lib. Sci. Tech. Albert Blanchard, Paris.","1258-0996","N","N","Y"
"Collect. SEE","Collection SEE","","Hermes Sci. /Lavoisier, Paris.","1264-4366","N","N","Y"
"Collect. Stat. Probab. Appl.","Collection Statistiques et Probabilites Appliquees","Statistics and Applied Probability Collection","Springer, Paris.","","N","N","Y"
"College Math. J.","The College Mathematics Journal","","Math. Assoc. America, Washington, DC.","0746-8342","N","N","N"
"Colloq. Math.","Colloquium Mathematicum","","Inst. Math., Polish Acad. Sci., Warsaw.","0010-1354","N","Y","N"
"Colloquia","Colloquia","Colloquium","Ed. Norm., Pisa.","","N","N","Y"
"Combin. Probab. Comput.","Combinatorics, Probability and Computing","","Cambridge Univ. Press, Cambridge.","0963-5483","N","Y","N"
"Combinatorica","Combinatorica. An International Journal on Combinatorics and the Theory of Computing","","Janos Bolyai Math. Soc., Budapest.","0209-9683","N","Y","N"
"Combust. Theory Model.","Combustion Theory and Modelling","","Taylor & Francis, Abingdon.","1364-7830","N","N","N"
"Comm. Algebra","Communications in Algebra","","Taylor & Francis, Philadelphia, PA.","0092-7872","N","Y","N"
"Comm. Anal. Geom.","Communications in Analysis and Geometry","","Int. Press, Somerville, MA.","1019-8385","N","Y","N"
"Comm. Appl. Nonlinear Anal.","Communications on Applied Nonlinear Analysis","","Internat. Publ., San Marcos, TX.","1074-133X","N","N","N"
"Comm. Control Engrg. Ser.","Communications and Control Engineering Series","","Springer, Cham.","0178-5354","N","N","Y"
"Comm. Math. Phys.","Communications in Mathematical Physics","","Springer, Berlin.","0010-3616","N","Y","N"
"Comm. Partial Differential Equations","Communications in Partial Differential Equations","","Taylor & Francis, Philadelphia, PA.","0360-5302","N","Y","N"
"Comm. Pure Appl. Math.","Communications on Pure and Applied Mathematics","","Wiley, Hoboken, NJ.","0010-3640","N","Y","N"
"Comm. Statist. Simulation Comput.","Communications in Statistics. Simulation and Computation","","Taylor & Francis, Philadelphia, PA.","0361-0918","N","N","N"
"Comm. Statist. Theory Methods","Communications in Statistics. Theory and Methods","","Taylor & Francis, Philadelphia, PA.","0361-0926","N","N","N"
"Comment. Math.","Commentationes Mathematicae. Annals of the Polish Mathematical Society. Series I","","Polsk. Tow. Mat., Warsaw.","2080-1211","N","Y","N"
"Comment. Math. Helv.","Commentarii Mathematici Helvetici. A Journal of the Swiss Mathematical Society","","Eur. Math. Soc., Zurich.","0010-2571","N","Y","N"
"Comment. Math. Univ. Carolin.","Commentationes Mathematicae Universitatis Carolinae","","Charles Univ., Prague.","0010-2628","N","Y","N"
"Comment. Math. Univ. St. Pauli","Commentarii Mathematici Universitatis Sancti Pauli","","Rikkyo Univ., Tokyo.","0010-258X","N","Y","N"
